,kappa,ev1,ev2,ev_diff,ev_diff_squared,model_diff_squared_real,model_diff_squared_imag,model_var_diff_real,model_var_diff_imag,ev_sum,model_sum_real,model_sum_imag,model_var_sum_real,model_var_sum_imag
18,(1.1729664961090946+1.0569687107258j),(-1.2116013765335083-0.41241025924682617j),(-1.2720324993133545+0.12360503524541855j),(0.06043112277984619-0.5360152944922447j),(-0.283660475329175-0.06478401214667251j),-0.27149678789701065,-0.061062509665877535,0.0003484976405161433,0.0003484976405161433,(-1.2418169379234314-0.1444026120007038j),-1.2336418126245605,-0.14131901743923503,3.183409844964569e-05,3.183409844964569e-05
19,(1.1742759741076056+1.051399572886546j),(-1.2136743068695068-0.39551782608032227j),(-1.2707581520080566+0.10813775658607483j),(0.057083845138549805-0.5036555826663971j),(-0.250410380575226-0.05750119456818936j),-0.2365143964417404,-0.05345352935667162,0.0003123651886198786,0.0003123651886198786,(-1.2422162294387817-0.14369003474712372j),-1.2339362403464493,-0.140740314661376,3.158268104941353e-05,3.158268104941353e-05
20,(1.1753441421568978+1.0469922441128008j),(-1.2154691219329834-0.38142794370651245j),(-1.2696027755737305+0.09517387300729752j),(0.05413365364074707-0.47660181671380997j),(-0.22421883923840774-0.051600395341072414j),-0.2089484567460076,-0.047314684157347534,0.0002887836164973123,0.0002887836164973123,(-1.242535948753357-0.14312703534960747j),-1.2341722095249452,-0.1402832120261096,3.140351926889107e-05,3.140351926889107e-05
21,(1.1762329732310235+1.0434101120948518j),(-1.2170445919036865-0.3694206774234772j),(-1.2685517072677612+0.08408057689666748j),(0.05150711536407471-0.45350125432014465j),(-0.20301040473681642-0.04671708284804055j),-0.18662109114176761,-0.042250848509382134,0.00027285851979286235,0.00027285851979286235,(-1.2427981495857239-0.14267005026340485j),-1.2343659172287405,-0.13991225956291997,3.1270803979577266e-05,3.1270803979577266e-05
22,(1.1769841607721079+1.0404374829960283j),(-1.2184420824050903-0.35901695489883423j),(-1.2675927877426147+0.07443451881408691j),(0.049150705337524414-0.43345147371292114j),(-0.18546438822872702-0.04260889132515899j),-0.16814547131067548,-0.03800148846753097,0.0002618380619878735,0.0002618380619878735,(-1.2430174350738525-0.14229121804237366j),-1.2345279239875122,-0.13960479493761566,3.1169445594780854e-05,3.1169445594780854e-05
23,(1.1776269978749578+1.0379284516423608j),(-1.2196911573410034-0.3498803377151489j),(-1.2667156457901+0.06593694537878036j),(0.04702448844909668-0.4158172830939293j),(-0.1706927104057177-0.039107190051570484j),-0.15258849525807214,-0.03438654224314921,0.0002540789791964926,0.0002540789791964926,(-1.2432034015655518-0.14197169616818428j),-1.2346654728437576,-0.1393455173300014,3.109006525714442e-05,3.109006525714442e-05
24,(1.1781829311413692+1.0357815145938893j),(-1.2208154201507568-0.3417696952819824j),(-1.2659111022949219+0.05837280675768852j),(0.04509568214416504-0.40014250203967094j),(-0.1580804013905205-0.03608939816870382j),-0.1393037706676601,-0.03127599173839257,0.00024855724768713117,0.00024855724768713117,(-1.2433632612228394-0.14169844426214695j),-1.2347837047134422,-0.13912381283384784,3.102660870435425e-05,3.102660870435425e-05
25,(1.1786680687980768+1.0339227804669098j),(-1.2218332290649414-0.3345033526420593j),(-1.2651710510253906+0.051579415798187256j),(0.04333782196044922-0.3860827684402466j),(-0.14718173727420947-0.0334639725613215j),-0.12782260869970946,-0.028573324868475008,0.0002446070836867875,0.0002446070836867875,(-1.243502140045166-0.14146196842193604j),-1.2348864081136635,-0.13893196844107075,3.0974979714049056e-05,3.0974979714049056e-05
26,(1.179094761926631+1.0322974832256067j),(-1.2227591276168823-0.3279426693916321j),(-1.2644883394241333+0.0454322025179863j),(0.04172921180725098-0.3733748719096184j),(-0.13766746785546952-0.031161278226843336j),-0.11779876696858489,-0.026205261625539367,0.00024178335479518864,0.00024178335479518864,(-1.2436237335205078-0.1412552334368229j),-1.2349764301842547,-0.1387642792144677,3.0932335873701255e-05,3.0932335873701255e-05
27,(1.1794726570606886+1.0308640154806914j),(-1.2236053943634033-0.3219793140888214j),(-1.2638568878173828+0.039833467453718185j),(0.04025149345397949-0.3618127815425396j),(-0.12928830616227371-0.02912700961565129j),-0.10896996354338682,-0.02411505046571239,0.00023978034209903853,0.00023978034209903853,(-1.243731141090393-0.1410729233175516j),-1.2350559589025032,-0.13861641836613614,3.089664827260474e-05,3.089664827260474e-05
28,(1.1798094058717614+1.029590200512672j),(-1.2243820428848267-0.31652724742889404j),(-1.263271450996399+0.034705378115177155j),(0.038889408111572266-0.3512326255440712j),(-0.12185197118331331-0.027318457833764853j),-0.10113388403659868,-0.022258003105458977,0.00023838345896365354,0.00023838345896365354,(-1.2438267469406128-0.14091093465685844j),-1.2351267045577161,-0.13848504525588196,3.0866436766530114e-05,3.0866436766530114e-05
29,(1.1801111582985415+1.0284507151083357j),(-1.2250972986221313-0.3115169405937195j),(-1.26272714138031+0.029984887689352036j),(0.03762984275817871-0.3415018282830715j),(-0.11520749365467521-0.025701320199845057j),-0.09413167348421123,-0.020598431379468204,0.0002374391715420643,0.0002374391715420643,(-1.2439122200012207-0.14076602645218372j),-1.2351900252942203,-0.13836753440158234,3.0840599066439545e-05,3.0840599066439545e-05
30,(1.1803829166327195+1.0274253288308053j),(-1.22575843334198-0.30689144134521484j),(-1.2622199058532715+0.02562021091580391j),(0.036461472511291504-0.33251165226101875j),(-0.10923455991166099-0.02424772893719851j),-0.08783668858687173,-0.019107471399072463,0.00023683582639932865,0.00023683582639932865,(-1.2439891695976257-0.14063561521470547j),-1.235247014552643,-0.13826179084237894,3.08182995711892e-05,3.08182995711892e-05
31,(1.1806287694766915+1.026497827659068j),(-1.2263712882995605-0.30260422825813293j),(-1.2617460489273071+0.021568963304162025j),(0.03537476062774658-0.32417319156229496j),(-0.10383688443821401-0.022935098106897644j),-0.08214760180926473,-0.017761640892679443,0.00023649112836210406,0.00023649112836210406,(-1.2440586686134338-0.14051763247698545j),-1.2352985563376806,-0.13816613783406495,3.079889890156284e-05,3.079889890156284e-05
32,(1.1808521245573145+1.0256547424927496j),(-1.2269412279129028-0.2986154854297638j),(-1.2613025903701782+0.017794713377952576j),(0.03436136245727539-0.31641019880771637j),(-0.09893471067961834-0.021744571052821016j),-0.07698040559565741,-0.016541467426804422,0.00023634354647583677,0.00023634354647583677,(-1.2441219091415405-0.1404103860259056j),-1.2353453857748398,-0.1380791826747651,3.078189238259199e-05,3.078189238259199e-05
