,kappa_with_noise,kappa_no_noise,ev_with_noise,ev_no_noise,training_steps_color
42,(1.1815691346407826+1.022855441452024j),(0.3209212658823201+0.5158825792502627j),"[(-1.2288150787353516-0.2846667170524597j), (-1.2598413228988647+0.004560236819088459j)]","[(-0.08387502282857895-0.34711751341819763j), (0.016810409724712372+0.0004767289210576564j)]",24
43,(1.1817179818459052+1.0222869956098075j),(0.49682890985438527+0.5003764325639749j),"[(-1.229232668876648-0.2816780209541321j), (-1.2595083713531494+0.0017163546290248632j)]","[(-0.20510061085224152-0.3073608875274658j), (0.017024917528033257+0.0005572449881583452j)]",25
44,(1.1818554403049841+1.0217606912142785j),(0.5122659250607595+0.24822574969886074j),"[(-1.2296251058578491-0.2788580656051636j), (-1.2591941356658936-0.0009694695472717285j)]","[(-0.17715078592300415-0.14517340064048767j), (0.017194239422678947+0.00025088878464885056j)]",26
45,(1.1819828188103971+1.0212717338712949j),(0.5658556546433832+0.35917544878796076j),"[(-1.2299951314926147-0.2761899530887604j), (-1.2588967084884644-0.0035129189491271973j)]","[(-0.22394073009490967-0.20477476716041565j), (0.017198389396071434+0.0004226203600410372j)]",27
46,(1.182101118452603+1.020816432244984j),(0.5622424591527101+0.4436825263620525j),"[(-1.2303444147109985-0.2736613154411316j), (-1.2586148977279663-0.005925476551055908j)]","[(-0.2368401437997818-0.2575394809246063j), (0.017141645774245262+0.000528642616700381j)]",28
47,(1.1822112432059664+1.020391468259548j),(0.3924677696731181-0.1541286403617017j),"[(-1.2306747436523438-0.271260529756546j), (-1.258347511291504-0.00821787491440773j)]","[(-0.09631282836198807+0.09629499167203903j), (0.017120182514190674-5.698925815522671e-05j)]",29
48,(1.1823139829000635+1.0199939442970927j),(0.45830616630641585+0.0010645825948693917j),"[(-1.230987548828125-0.2689773440361023j), (-1.2580933570861816-0.010399656370282173j)]","[(-0.132623553276062-0.0006372178322635591j), (0.017256705090403557+5.159834586265788e-07j)]",30
49,(1.182410032322046+1.0196213088097528j),(0.5430932709778098+0.11055109294168233j),"[(-1.231284499168396-0.26680251955986023j), (-1.257851481437683-0.0124793890863657j)]","[(-0.18463115394115448-0.06252533942461014j), (0.017297646030783653+0.00010831399413291365j)]",31
50,(1.1824999995405157+1.0192713506746176j),(0.444351372414312+0.09203582810048716j),"[(-1.2315665483474731-0.26472803950309753j), (-1.2576210498809814-0.014464547857642174j)]","[(-0.12577851116657257-0.05566462129354477j), (0.017217593267560005+4.569302109302953e-05j)]",32
51,(1.1825844266396501+1.0189420418264903j),(0.6449769389560573-0.22521723617404565j),"[(-1.2318350076675415-0.26274624466896057j), (-1.2574011087417603-0.016362255439162254j)]","[(-0.2500821650028229+0.11752865463495255j), (0.017374631017446518-0.00028935718000866473j)]",33
52,(1.1826637924719876+1.018631660949372j),(0.5380039513027692-0.11665226526752263j),"[(-1.232090711593628-0.2608507573604584j), (-1.2571909427642822-0.01817849837243557j)]","[(-0.18203309178352356+0.06625556945800781j), (0.01729000173509121-0.00011282954801572487j)]",34
53,(1.1827385208111119+1.0183386350988237j),(0.5521763613303179-0.013066878935523022j),"[(-1.2323346138000488-0.25903549790382385j), (-1.2569899559020996-0.019918907433748245j)]","[(-0.18709231913089752+0.007318195421248674j), (0.01732763648033142-1.270823304366786e-05j)]",35
54,(1.1828089980461551+1.018061559299685j),(0.508690509804875+0.04786435601631673j),"[(-1.2325676679611206-0.25729501247406006j), (-1.2567975521087646-0.021588603034615517j)]","[(-0.16276270151138306-0.027713311836123466j), (0.017284007743000984+3.850624125334434e-05j)]",36
55,(1.1828755609832833+1.0177991865211442j),(0.6135803608180525+0.6489012297676753j),"[(-1.232790470123291-0.255624383687973j), (-1.2566131353378296-0.023192157968878746j)]","[(-0.32160893082618713-0.38140085339546204j), (0.01705809123814106+0.0008144965977407992j)]",37
56,(1.1829385181929266+1.0175503837554267j),(0.8384526250722436+1.0555709877801696j),"[(-1.2330037355422974-0.2540191411972046j), (-1.2564362287521362-0.02473382279276848j)]","[(1.419838309288025-0.013800926506519318j), (-1.7105107307434082+0.3761831820011139j)]",38
57,(1.1829981415130437+1.017314151546795j),(0.4439070004895939+0.3293365201947105j),"[(-1.233208179473877-0.25247523188591003j), (-1.2562663555145264-0.026217341423034668j)]","[(-0.14373335242271423-0.20319564640522003j), (0.01706034317612648+0.0003127782547380775j)]",39
